tier,title,hub,section,evidence
"canon","👮 PRT Master Reference","Welcome Doc","Other Resources / GM Section / PRT Master Reference 🐗","🐗-marked in index; listed on Fandom wiki"
"canon","Alice Tinker Example","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","BLASTERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","BRUTE","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Cauldron Doc","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); cited as resource by canon: Wounds & Wound Effects"
"canon","Changer Example","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","Changer Example Trigger: Isaac","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","Character Creation","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); listed on Fandom wiki"
"canon","Dispositions Guide","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Elements","Welcome Doc","Other Resources / Power Generation / Elements 🐗","🐗-marked in index"
"canon","Equipment","Welcome Doc","Main Resources","cited as resource by canon: WD Rulebook: Character Creation; listed on Fandom wiki"
"canon","Example Planned Mission","Welcome Doc","Other Resources / GM Section / Cheat Sheet","Vault “Official” section"
"canon","Gameplay Rules","Welcome Doc","Main Resources","cited as resource by canon: WD Rulebook: Character Creation; listed on Fandom wiki"
"canon","Leet Quest","The Vault","Fan-Made","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Fan-Made"
"canon","MASTERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
